001E783C|fm:DpdEffectSub.Items
001E78A4|fm:DpdEffectSub.Items
001E790C|fm:DpdEffectSub.Items
001E7970|fm:DpdEffect.Unk20
001E7974|fm:DpdEffect.CommandsCount
001E7988|fm:DpdEffectCommand.Command
001E7990|fm:DpdEffectCommand.OffsetParameters
001E79AC|fm:DpdEffect.CommandsCount
001E79B8|fm:DpdEffect.CommandsCount
001E79C8|fm:DpdEffectCommand.Command
001E7A18|fm:DpdEffect.Unk20
001E7A1C|fm:DpdEffect.CommandsCount
001E7A30|fm:DpdEffectCommand.Command
001E7A38|fm:DpdEffectCommand.OffsetParameters
001E7A54|fm:DpdEffect.CommandsCount
001E7A60|fm:DpdEffect.CommandsCount
001E7A70|fm:DpdEffectCommand.Command
001E7AC4|fm:DpdEffect.CommandsCount
001E7AC8|fm:DpdEffect.Unk20
001E7B84|fm:DpdEffect.Unk24
001E7BA8|fm:DpdEffect.Unk24
001E7E4C|fm:a.fm+ 11273 
001E7EC0|fm:EffectsGroup.Scaling
001E7EDC|fm:EffectsGroup.Scaling
001E7EF8|fm:EffectsGroup.Scaling
001E7F1C|fm:EffectsGroup.Position
001E7F24|fm:EffectsGroup.Position
001E7F2C|fm:EffectsGroup.Position
001E8070|fm:DpdEffectParent.Unk0
001E8078|fm:DpdEffectParent.Unk4
001E8084|fm:DpdEffectParent.Offset8
001E8090|fm:DpdEffectParent.Offsetc
001E80A8|fm:DpdEffectSub.Count
001E80B8|fm:DpdEffectSub.Count
001E80E0|fm:DpdEffect.OffsetNext
001E8120|fm:DpdEffect.Unk10
001E8138|fm:DpdEffect.OffsetNext
001E839C|fm:DpdEffect.CommandsCount
001E83B4|fm:DpdEffectCommand.Command
001E83F4|fm:DpdEffect.Unk20
001E840C|fm:DpdEffectCommand.ParamLength
001E8474|85 usages. |fm:a.fm+ 11524 |fm:a.fm+ 11572 |fm:a.fm+ 11624 |fm:a.fm+ 11648 |fm:a.fm+ 11672 |fm:a.fm+ 11692 |fm:a.fm+ 11740 |fm:a.fm+ 11760 |fm:a.fm+ 11800 |fm:a.fm+ 12192 |fm:a.fm+ 12232 |fm:a.fm+ 12296 |fm:a.fm+ 12336 |fm:a.fm+ 12400 |fm:a.fm+ 12424 |fm:a.fm+ 12448 |fm:a.fm+ 12500 |fm:a.fm+ 12560 |fm:a.fm+ 12580 |fm:a.fm+ 12620 |fm:a.fm+ 13012 |fm:a.fm+ 13052 |fm:a.fm+ 13104 |fm:a.fm+ 13144 |fm:a.fm+ 13196 |fm:a.fm+ 13220 |fm:a.fm+ 13244 |fm:a.fm+ 13280 |fm:a.fm+ 13316 |fm:a.fm+ 13336 |fm:a.fm+ 13376 |fm:a.fm+ 13700 |fm:a.fm+ 13724 |fm:a.fm+ 13748 |fm:a.fm+ 13768 |fm:a.fm+ 13780 |fm:a.fm+ 14380 |fm:a.fm+ 14428 |fm:a.fm+ 14480 |fm:a.fm+ 14504 |fm:a.fm+ 14524 |fm:a.fm+ 14572 |fm:a.fm+ 14588 |fm:a.fm+ 14628 |fm:a.fm+ 14980 |fm:a.fm+ 15056 |fm:a.fm+ 15100 |fm:a.fm+ 15176 |fm:a.fm+ 15220 |fm:a.fm+ 15308 |fm:a.fm+ 15364 |fm:a.fm+ 15376 |fm:a.fm+ 15412 |fm:a.fm+ 15764 |fm:a.fm+ 15840 |fm:a.fm+ 15884 |fm:a.fm+ 15960 |fm:a.fm+ 16004 |fm:a.fm+ 16092 |fm:a.fm+ 16148 |fm:a.fm+ 16160 |fm:a.fm+ 16172 |fm:a.fm+ 16208 |fm:a.fm+ 17112 |fm:a.fm+ 17160 |fm:a.fm+ 17212 |fm:a.fm+ 17236 |fm:a.fm+ 17256 |fm:a.fm+ 17304 |fm:a.fm+ 17320 |fm:a.fm+ 17360 |fm:a.fm+ 16512 |fm:a.fm+ 16536 |fm:a.fm+ 16560 |fm:a.fm+ 16580 |fm:a.fm+ 16592 |fm:a.fm+ 16620 |fm:a.fm+ 15072 |fm:a.fm+ 15192 |fm:a.fm+ 15324 |fm:a.fm+ 15432 |fm:a.fm+ 15856 |fm:a.fm+ 15976 |fm:a.fm+ 16108 |fm:a.fm+ 16228 
001E84E0|fm:DpdEffect.CommandsCount
001E85C0|fm:DpdEffect.CommandsCount
001E85D8|fm:DpdEffectCommand.Command
001E8614|fm:DpdEffect.Unk20
001E8638|fm:DpdEffectCommand.ParamLength
001E8694|5 usages. |fm:a.fm+ 13424 |fm:a.fm+ 14064 |fm:a.fm+ 14656 |fm:a.fm+ 17388 |fm:a.fm+ 16792 
001E8758|fm:DpdEffect.CommandsCount
001E8890|fm:DpdEffect.Unk1C
001E889C|fm:DpdEffect.Unk14
001E88A0|fm:DpdEffect.Unk18
001E88D4|fm:DpdEffect.Unk18
001E8A20|fm:DpdEffect.Unk20
001E8A38|fm:DpdEffectCommand.ParamLength
001E8A4C|fm:a.fm+ 11824 , fm:a.fm+ 12644 
001E8AC0|fm:DpdEffect.CommandsCount
001E8E54|fm:DpdEffect.Unk20
001E8E64|fm:DpdEffect.CommandsCount
001E8E80|fm:DpdEffectCommand.Command
001E8E90|fm:DpdEffectCommand.ParamLength
001E8E9C|9 usages. |fm:a.fm+ 17112 |fm:a.fm+ 17160 |fm:a.fm+ 17212 |fm:a.fm+ 17236 |fm:a.fm+ 17256 |fm:a.fm+ 17304 |fm:a.fm+ 17320 |fm:a.fm+ 17360 |fm:a.fm+ 17388 
001E8EF8|fm:DpdEffect.CommandsCount
001E9010|fm:EffectsGroup.Rotation
001E901C|fm:EffectsGroup.Rotation
001E9038|fm:EffectsGroup.Rotation
001E9108|fm:DpdEffectCommand.Raw1
001E9118|fm:DpdEffectCommand.Offset2
001E911C|9 usages. |fm:a.fm+ 11620 |fm:a.fm+ 12396 |fm:a.fm+ 13192 |fm:a.fm+ 13696 |fm:a.fm+ 14476 |fm:a.fm+ 15216 |fm:a.fm+ 16000 |fm:a.fm+ 17208 |fm:a.fm+ 16508 
001E9120|fm:DpdEffectCommand.Raw2
001E9124|9 usages. |fm:a.fm+ 11612 |fm:a.fm+ 12388 |fm:a.fm+ 13184 |fm:a.fm+ 13688 |fm:a.fm+ 14468 |fm:a.fm+ 15208 |fm:a.fm+ 15992 |fm:a.fm+ 17200 |fm:a.fm+ 16500 
001E912C|9 usages. |fm:a.fm+ 11616 |fm:a.fm+ 12392 |fm:a.fm+ 13188 |fm:a.fm+ 13692 |fm:a.fm+ 14472 |fm:a.fm+ 15212 |fm:a.fm+ 15996 |fm:a.fm+ 17204 |fm:a.fm+ 16504 
001E9160|fm:DpdEffectCommand.Offset2
001E9168|fm:DpdEffectCommand.Raw2
001E918C|fm:DpdEffectCommand.Offset2
001E9194|fm:DpdEffectCommand.Raw2
001E9198|fm:a.fm+ 15156 , fm:a.fm+ 15940 
001E91D8|fm:DpdEffectCommand.Raw1
001E91E4|fm:a.fm+ 15096 , fm:a.fm+ 15880 
001E91EC|fm:a.fm+ 15088 , fm:a.fm+ 15872 
001E91F4|fm:a.fm+ 15092 , fm:a.fm+ 15876 
001E9250|fm:DpdEffectCommand.Offset2
001E9258|fm:a.fm+ 15156 , fm:a.fm+ 15940 
001E927C|fm:DpdEffectCommand.Offset2
001E9284|fm:DpdEffectCommand.Raw2
001E9288|fm:a.fm+ 15036 , fm:a.fm+ 15820 
001E92C8|fm:DpdEffectCommand.Raw1
001E92D4|fm:a.fm+ 14976 , fm:a.fm+ 15760 
001E92DC|fm:a.fm+ 14968 , fm:a.fm+ 15752 
001E92E4|fm:a.fm+ 14972 , fm:a.fm+ 15756 
001E9340|fm:DpdEffectCommand.Offset2
001E9348|fm:a.fm+ 15036 , fm:a.fm+ 15820 
001E9398|fm:DpdEffectCommand.Raw1, fm:a.fm+ 15308 , fm:a.fm+ 16092 
001E93A8|fm:DpdEffectCommand.Offset2
001E93AC|9 usages. |fm:a.fm+ 11644 |fm:a.fm+ 12420 |fm:a.fm+ 13216 |fm:a.fm+ 13720 |fm:a.fm+ 15304 |fm:a.fm+ 16088 |fm:a.fm+ 15320 |fm:a.fm+ 16104 |fm:a.fm+ 16532 
001E93B0|fm:DpdEffectCommand.Raw2
001E93B4|9 usages. |fm:a.fm+ 11636 |fm:a.fm+ 12412 |fm:a.fm+ 13208 |fm:a.fm+ 13712 |fm:a.fm+ 15296 |fm:a.fm+ 16080 |fm:a.fm+ 15312 |fm:a.fm+ 16096 |fm:a.fm+ 16524 
001E93BC|9 usages. |fm:a.fm+ 11640 |fm:a.fm+ 12416 |fm:a.fm+ 13212 |fm:a.fm+ 13716 |fm:a.fm+ 15300 |fm:a.fm+ 16084 |fm:a.fm+ 15316 |fm:a.fm+ 16100 |fm:a.fm+ 16528 
001E93F0|fm:DpdEffectCommand.Offset2
001E93F4|fm:DpdEffectCommand.Raw2
001E9414|fm:DpdEffectCommand.Offset2
001E941C|fm:DpdEffectCommand.Raw2
001E9420|fm:a.fm+ 15200 , fm:a.fm+ 15984 
001E9460|fm:DpdEffectCommand.Raw1, fm:a.fm+ 15176 , fm:a.fm+ 15960 
001E946C|4 usages. |fm:a.fm+ 15172 |fm:a.fm+ 15956 |fm:a.fm+ 15188 |fm:a.fm+ 15972 
001E9474|4 usages. |fm:a.fm+ 15164 |fm:a.fm+ 15948 |fm:a.fm+ 15180 |fm:a.fm+ 15964 
001E947C|4 usages. |fm:a.fm+ 15168 |fm:a.fm+ 15952 |fm:a.fm+ 15184 |fm:a.fm+ 15968 
001E94D8|fm:DpdEffectCommand.Offset2
001E94DC|fm:a.fm+ 15200 , fm:a.fm+ 15984 
001E94FC|fm:DpdEffectCommand.Offset2
001E9504|fm:DpdEffectCommand.Raw2
001E9508|fm:a.fm+ 15080 , fm:a.fm+ 15864 
001E9548|fm:DpdEffectCommand.Raw1, fm:a.fm+ 15056 , fm:a.fm+ 15840 
001E9554|4 usages. |fm:a.fm+ 15052 |fm:a.fm+ 15836 |fm:a.fm+ 15068 |fm:a.fm+ 15852 
001E955C|4 usages. |fm:a.fm+ 15044 |fm:a.fm+ 15828 |fm:a.fm+ 15060 |fm:a.fm+ 15844 
001E9564|4 usages. |fm:a.fm+ 15048 |fm:a.fm+ 15832 |fm:a.fm+ 15064 |fm:a.fm+ 15848 
001E95C0|fm:DpdEffectCommand.Offset2
001E95C4|fm:a.fm+ 15080 , fm:a.fm+ 15864 
001E9610|fm:DpdEffectCommand.Raw1
001E9620|fm:DpdEffectCommand.Offset2
001E9624|9 usages. |fm:a.fm+ 11668 |fm:a.fm+ 12444 |fm:a.fm+ 13240 |fm:a.fm+ 13744 |fm:a.fm+ 14500 |fm:a.fm+ 15360 |fm:a.fm+ 16144 |fm:a.fm+ 17232 |fm:a.fm+ 16556 
001E9628|fm:DpdEffectCommand.Raw2
001E962C|9 usages. |fm:a.fm+ 11660 |fm:a.fm+ 12436 |fm:a.fm+ 13232 |fm:a.fm+ 13736 |fm:a.fm+ 14492 |fm:a.fm+ 15352 |fm:a.fm+ 16136 |fm:a.fm+ 17224 |fm:a.fm+ 16548 
001E9634|9 usages. |fm:a.fm+ 11664 |fm:a.fm+ 12440 |fm:a.fm+ 13236 |fm:a.fm+ 13740 |fm:a.fm+ 14496 |fm:a.fm+ 15356 |fm:a.fm+ 16140 |fm:a.fm+ 17228 |fm:a.fm+ 16552 
001E9668|fm:DpdEffectCommand.Offset2
001E9670|fm:DpdEffectCommand.Raw2
001E9694|fm:DpdEffectCommand.Offset2
001E969C|fm:DpdEffectCommand.Raw2
001E96A0|fm:a.fm+ 12320 , fm:a.fm+ 13128 
001E96E0|fm:DpdEffectCommand.Raw1
001E96EC|fm:a.fm+ 12292 , fm:a.fm+ 13100 
001E96F4|fm:a.fm+ 12284 , fm:a.fm+ 13092 
001E96FC|fm:a.fm+ 12288 , fm:a.fm+ 13096 
001E9758|fm:DpdEffectCommand.Offset2
001E9760|fm:a.fm+ 12320 , fm:a.fm+ 13128 
001E9784|fm:DpdEffectCommand.Offset2
001E978C|fm:DpdEffectCommand.Raw2
001E9790|fm:a.fm+ 12216 , fm:a.fm+ 13036 
001E97D0|fm:DpdEffectCommand.Raw1
001E97DC|fm:a.fm+ 12188 , fm:a.fm+ 13008 
001E97E4|fm:a.fm+ 12180 , fm:a.fm+ 13000 
001E97EC|fm:a.fm+ 12184 , fm:a.fm+ 13004 
001E9848|fm:DpdEffectCommand.Offset2
001E9850|fm:a.fm+ 12216 , fm:a.fm+ 13036 
001E9874|fm:DpdEffectCommand.Offset2
001E9880|fm:DpdEffectCommand.Raw2
001E9898|7 usages. |fm:a.fm+ 5000 |fm:a.fm+ 5664 |fm:a.fm+ 6484 |fm:a.fm+ 7204 |fm:DpdEffectCommand.Raw2|fm:a.fm+ 10588 |fm:a.fm+ 10000 
001E98B8|fm:DpdEffectCommand.Raw1
001E98C4|7 usages. |fm:a.fm+ 11684 |fm:a.fm+ 12492 |fm:a.fm+ 13272 |fm:a.fm+ 13760 |fm:a.fm+ 14516 |fm:a.fm+ 17248 |fm:a.fm+ 16572 
