001DA3DC|6 usages. |ard:ard/eh18.ard+ 54005 |ard:ard/eh18.ard+ 54019 |ard:ard/eh18.ard+ 54025 |ard:ard/eh18.ard+ 54053 |ard:ard/eh18.ard+ 54067 |ard:ard/eh18.ard+ 54073 
001DA3E0|6 usages. |ard:ard/eh18.ard+ 54002 |ard:ard/eh18.ard+ 54016 |ard:ard/eh18.ard+ 54022 |ard:ard/eh18.ard+ 54050 |ard:ard/eh18.ard+ 54064 |ard:ard/eh18.ard+ 54070 
001DA428|ard:ard/eh18.ard+ 53988 
001DA434|ard:ard/eh18.ard+ 53984 
001DA440|ard:ard/eh18.ard+ 53996 
001DA4F4|ard:ard/eh18.ard+ 54086 , ard:ard/eh18.ard+ 54090 , ard:ard/eh18.ard+ 54094 
001DA5B0|24 usages. |ard:ard/eh18.ard+ 54000 |ard:ard/eh18.ard+ 54006 |ard:ard/eh18.ard+ 54010 |ard:ard/eh18.ard+ 54014 |ard:ard/eh18.ard+ 54020 |ard:ard/eh18.ard+ 54026 |ard:ard/eh18.ard+ 54084 |ard:ard/eh18.ard+ 54088 |ard:ard/eh18.ard+ 54092 |ard:ard/eh18.ard+ 54096 |ard:ard/eh18.ard+ 54100 |ard:ard/eh18.ard+ 54102 |ard:ard/eh18.ard+ 54126 |ard:ard/eh18.ard+ 54030 |ard:ard/eh18.ard+ 54034 |ard:ard/eh18.ard+ 54044 |ard:ard/eh18.ard+ 54048 |ard:ard/eh18.ard+ 54054 |ard:ard/eh18.ard+ 54058 |ard:ard/eh18.ard+ 54062 |ard:ard/eh18.ard+ 54068 |ard:ard/eh18.ard+ 54074 |ard:ard/eh18.ard+ 54078 |ard:ard/eh18.ard+ 54082 
001DAB9C|6 usages. |ard:ard/eh18.ard+ 54012 |ard:ard/eh18.ard+ 54104 |ard:ard/eh18.ard+ 54036 |ard:ard/eh18.ard+ 54046 |ard:ard/eh18.ard+ 54060 |ard:ard/eh18.ard+ 54080 
001DAC38|ard:ard/eh18.ard+ 54028 , ard:ard/eh18.ard+ 54076 
001DAE3C|4 usages. |ard:ard/eh18.ard+ 54008 |ard:ard/eh18.ard+ 54098 |ard:ard/eh18.ard+ 54032 |ard:ard/eh18.ard+ 54056 
001DAF2C|ard:EventActivator.ScaleY
001DAF34|ard:EventActivator.ScaleZ
001DAF38|ard:EventActivator.ScaleX
001DAF58|ard:EventActivator.PositionX
001DAF5C|ard:EventActivator.PositionY
001DAF60|ard:EventActivator.PositionZ
001DAF74|ard:EventActivator.RotationY
001DB454|ard:EventActivator.Unk00
001DC2B4|ard:Kh2Bar.NumFiles
002283B4|ard:ard/eh18.ard+ 56064 
